jobs,count
vogueron,1
geher de ter,1
vudur de vix,1
salleure,1
glandel,1
marchand de commis,1
inpertn des sone apharsies,1
sindic,1
mancurre,1
sieur,1
oministre,1
condeur,1
mecanicien,1
saors eta,1
fondeur,1
ngd,1
vistilateure,1
gripier,1
negociant,1
chairciatier,1
sa enjournee,1
meruisier,1
brodeuse,1
cousenlinge,1
marcel,1
epicel,1
vandau de,1
ebouiste,1
seleur,1
girgier,1
me desiquent,1
maueuvre,1
m cordonnier,1
ala,1
mecon,1
nuissier,1
vendeur,1
dalonnettes,1
meruierier,1
tineraud,1
tailleur de pierre,1
leuivaire,1
tient teurion,1
vendeuve de,1
vorteus en nrerit,1
farteur,1
vigniron,1
tincroud,1
rouliene,1
voudoude,1
etudiant,1
peniveur,1
journailliere,1
besiveuse,1
sophie,1
ialienne,1
raud,1
secons,1
vendeur de vix,1
manoeuvre a,1
consenlinge,1
font en linge,1
farteur de prilly,1
jnste militaire,1
liserend,1
carrien,1
letier,1
husssier,1
taillieur pierre,1
moitre d ocritiere,1
mte de lanque,1
tar,1
sie,1
inspoct general,1
drenideut du,1
crib de birtri,1
hopitatier,1
idom,1
iupal,1
chapeliere,1
inpinneur,1
garde pelice,1
couciennes,1
haud,1
sap fontouseur,1
no de leur recepisse,1
fernand,1
graveur,1
chivurgien,1
trailleuse,1
fabr de chandelles,1
degottant,1
juge sapierre,1
municipale,1
venderin,1
ta enjournee,1
tisserand,1
garde de curi,1
nogt,1
charondon,1
soneur de cheveaux,1
manoeuvre .,1
condonteur de lu diligence,1
pidem n,1
gt n,1
consiller ne,1
fntaire du petit conmils un,1
fanier,1
seiller et,1
regt,1
sonelier e,1
prisedent d agnel,1
rey,1
gt en,1
commis ne,1
voituriere,1
charrentier,1
ne,1
ancien domestique de plaud,1
confiseur patissier,1
institutrice .,1
aide libraire,1
secretan,1
jn des sels n,1
rue rentiere,1
manouvriere,1
vigneron d,1
lerruquier,1
pettetier,1
fab . de draz,1
hortoger ne,1
musien,1
hermuis,1
fernier,1
vid le sesture,1
vid de sesrenter,1
prebro,1
ferblantier a,1
voiturier .,1
roge bunnier,1
conducteur de,1
huissier de police,1
vindeur de vin gagne denier,1
chapetier n,1
banquier,1
n agriculteur den,1
lrocureur,1
sonrdiarre,1
gagne darien,1
lesseveuse,1
buraliste,1
n confieur ae,1
commis des jeanes,1
chartier venteur de vin,1
lour de chevrud,1
rotaire,1
commipsaire n,1
chaudronnier,1
sel fsepeur de painedn,1
atiod,1
jounier,1
facteur,1
jnt des poste,1
en confiseur,1
ouvriere,1
fabr de bas,1
tonnetier,1
un marchande,1
ouvriere n,1
chamoiseur n,1
nileuse,1
et crivain,1
tourneur e vinrique,1
joquier,1
garcon d euvne,1
charran,1
reveudeuse,1
domestique en francois,1
labouran,1
chauderanier,1
fondeur et,1
jourbisseur,1
ouvrier se m,1
mercion douailler,1
vitrier,1
ey devant bouelge,1
lu palt onsel,1
runlier,1
distile,1
redesier,1
fastour allemand,1
geronnier,1
gendanmes,1
marieijal,1
nauliette,1
bin st des nonaps,1
dierent,1
sourneur,1
tracleur,1
oeuliste,1
cricain,1
peiller,1
orphere,1
cordier,1
foupeur de cois,1
jordonnier,1
bauquier,1
vl de sa tcnles,1
samete,1
rontier,1
meuniere,1
fous enlinge,1
orferre,1
riesenier,1
marechat,1
mennier,1
mariejuel,1
ceriarin,1
id de ses renlet,1
consealine,1
fonsenier,1
taillier,1
duburcau miletaire,1
ford en linge,1
fout enlinge,1
fort en linge,1
personlinge,1
coutelier,1
valessenier,1
faiy ler menages,1
da pilil corseil,1
chapuiseur,1
padecier,1
veulier,1
cayer,1
pehner,1
marchende,1
boularger,1
soleur mederin,1
vil de sos tontes,1
flle sos jules,1
montier,1
bipontier a,1
cordonniere,1
nboulangers,1
cutottier,1
mart de fer,1
e negt,1
popitallier,1
perriquier,1
g i,1
consiller .,1
tailleuse .,1
pucitre,1
apoticaire,1
mortoger n,1
gresv de d ishrich,1
lassuren,1
laboureuse,1
tableau,1
chirurgien,1
labourent,1
pharntier,1
arceurier,1
bintier,1
verdeur de vid,1
jardiniere,1
st cottonel,1
contiseur,1
cuisiniere .,1
veuve de mesag,1
saulieur,1
lavaudiere,1
vendeuse de ver,1
marcharde,1
bontonnier,1
fileur de laine,1
gague denier,1
tailleuse de t,1
coutrepointiere,1
chamoiseun,1
vit de seserten,1
manoeuvre et,1
garde de huit,1
saus vocation,1
fumiste,1
instituteur sour maitre,1
manicipal,1
receveur,1
sacteur,1
jaye denier,1
cheragiere,1
tinturiere,1
chandelie,1
crieux dieblie,1
taillieuse,1
manier,1
dolisseuse,1
boucherle,1
aiguiseur,1
juge de district,1
mtre daumes,1
abraire,1
garquier,1
chaudionne,1
contrepaintiere,1
regd,1
fabriq de vottone,1
meurier,1
mtre de panse,1
fabriq de cottone,1
marche,1
partissier,1
vigueur,1
manicien,1
pierre,1
chanoiseur,1
lescireuse,1
mene le sable,1
pait,1
pasteur,1
intond den deages,1
granger,1
coupeur de lois,1
fermiere,1
egayeur,1
caithier,1
journaliere .,1
garde malades,1
coge a prie,1
kamoneur,1
garde de soux,1
mre horiture,1
pocureur,1
baitriere,1
baitier,1
telieur,1
copitaire,1
aitrier,1
vonder de vin,1
rossquier,1
maitrte d a cole,1
potier de tain,1
mades,1
pottier de terre,1
ville des rantes,1
casisinian,1
polier de verre,1
labouraire,1
socretaire,1
thorviere,1
negociant an vin,1
vaudeur de vir,1
fabr de parephie,1
vallieuse,1
apolicaire,1
sallien,1
femme de merrog,1
pagne denier,1
marveuvre,1
cacaveux,1
maulier,1
vid le stule,1
maitre dacole,1
matelassier,1
cullier,1
meuchand,1
afare,1
cuisinier,1
sallieuse,1
magasin choussien,1
tourniere,1
relieur et,1
sergent muniege,1
contrepointiere,1
tailleur de,1
gaque denier,1
fruitier,1
iugrimeur,1
fabrique des,1
vit de sestenter,1
ey devant gamoisine,1
croyeur,1
serrurier et,1
farnoiseur,1
domestique a,1
diolle d infirme,1
critelier,1
agent de change,1
prippiere,1
et prigtere,1
nusseise,1
viv de ses corles,1
sessaur de loin,1
deu,1
trois,1
marchand de mablans,1
chamoisseur,1
von tanneur,1
v d de ses carles,1
marcheur de vire,1
